,bboxData_x,bboxData_y,imgPath,categories,distance,areaSize,areaSizeDiff,imgRatioDiff,numberOfPerson,numberOfTree,numberOfHouse
0,191.081,583.562,/workspace/namu2/data/segmentation_data/5/5-1-1/10746.jpg,person,337.8335856,464284,394354.7734,0.751924331,1,0,0
1,297.208,1056.926,/workspace/namu2/data/segmentation_data/5/5-1-1/11330.jpg,person,822.8781349,609725,539795.7734,0.820312392,1,0,0
2,239.9245,472.1715,/workspace/namu2/data/segmentation_data/5/5-1-1/11447.jpg,person,253.0243765,151857,81927.77344,0.698446267,1,0,0
3,221.906,559.7725,/workspace/namu2/data/segmentation_data/5/5-1-1/12133.jpg,person,324.2789858,236273,166343.7734,0.662889984,1,0,0
4,256.36,540.109,/workspace/namu2/data/segmentation_data/5/5-1-1/12319.jpg,person,320.3160345,449152,379222.7734,0.637698801,1,0,0
5,714.305,282.375,/workspace/namu2/data/segmentation_data/5/5-1-1/12456.jpg,person,606.4369528,44622,25307.22656,0.002857143,1,0,0
6,279.59,515.542,/workspace/namu2/data/segmentation_data/5/5-1-1/12474.jpg,person,310.8986453,436954,367024.7734,0.631054289,1,0,0
7,509.355,310.6455,/workspace/namu2/data/segmentation_data/5/5-1-1/12510.jpg,person,404.6209292,193725,123795.7734,0.032906894,1,0,0
8,202.94,456.184,/workspace/namu2/data/segmentation_data/5/5-1-1/12850.jpg,person,221.3748504,400960,331030.7734,0.657686539,1,0,0
9,494.4,325.012,/workspace/namu2/data/segmentation_data/5/5-1-1/12928.jpg,person,392.0806221,341796,271866.7734,0.041993585,1,0,0
10,218.13,708.8225,/workspace/namu2/data/segmentation_data/5/5-1-1/12952.jpg,person,465.926205,92563,22633.77344,0.722077493,1,0,0
11,168,558.963,/workspace/namu2/data/segmentation_data/5/5-1-1/13013.jpg,person,308.7698102,277200,207270.7734,0.70181668,1,0,0
12,557.69,293.761,/workspace/namu2/data/segmentation_data/5/5-1-1/13045.jpg,person,450.8326572,74236,4306.773438,0.034153923,1,0,0
13,278.441,613.202,/workspace/namu2/data/segmentation_data/5/5-1-1/13075.jpg,person,395.5993548,318986,249056.7734,0.631054289,1,0,0
14,246.078,491.036,/workspace/namu2/data/segmentation_data/5/5-1-1/13098.jpg,person,272.3774471,53391,16538.22656,0.721260899,1,0,0
15,323.252,552.55,/workspace/namu2/data/segmentation_data/5/5-1-1/13129.jpg,person,366.1831781,437968,368038.7734,0.631054289,1,0,0
16,287.633,609.569,/workspace/namu2/data/segmentation_data/5/5-1-1/13139.jpg,person,396.391609,312416,242486.7734,0.884849873,2,0,0
17,333.976,1683.72,/workspace/namu2/data/segmentation_data/5/5-1-1/13139.jpg,person,1445.432066,110751,40821.77344,0.884849873,2,0,0
18,218.4425,273.0105,/workspace/namu2/data/segmentation_data/5/5-1-1/13453.jpg,person,111.3090379,236925,166995.7734,0.501691144,1,0,0
19,222.4445,568.008,/workspace/namu2/data/segmentation_data/5/5-1-1/13825.jpg,person,332.1908333,364182,294252.7734,0.685714286,1,0,0
20,272.415,363.28,/workspace/namu2/data/segmentation_data/5/5-1-1/13882.jpg,person,195.9537422,85674,15744.77344,0.628282526,1,0,0
21,313.418,460.857,/workspace/namu2/data/segmentation_data/5/5-1-1/13886.jpg,person,289.8014783,188976,119046.7734,0.664260311,1,0,0
22,284.952,940.633,/workspace/namu2/data/segmentation_data/5/5-1-1/13902.jpg,person,707.0286712,544170,474240.7734,0.896541134,1,0,0
23,235.9345,641.866,/workspace/namu2/data/segmentation_data/5/5-1-1/13958.jpg,person,406.3906118,63392,6537.226563,0.660584727,1,0,0
24,431.964,207.437,/workspace/namu2/data/segmentation_data/5/5-1-1/13960.jpg,person,327.1450504,439964,370034.7734,0.128632675,1,0,0
25,262.668,557.674,/workspace/namu2/data/segmentation_data/5/5-1-1/13972.jpg,person,338.8183241,369920,299990.7734,0.641750642,1,0,0
26,308.698,617.828,/workspace/namu2/data/segmentation_data/5/5-1-1/14019.jpg,person,413.5552582,435880,365950.7734,0.631054289,1,0,0
27,143.985,537.6525,/workspace/namu2/data/segmentation_data/5/5-1-1/14098.jpg,person,283.8946103,378864,308934.7734,0.732847425,1,0,0
28,298.776,422.6615,/workspace/namu2/data/segmentation_data/5/5-1-1/14191.jpg,person,252.9936723,225898,155968.7734,0.661760607,1,0,0
29,236.375,447.9695,/workspace/namu2/data/segmentation_data/5/5-1-1/14237.jpg,person,230.6996022,31625,38304.22656,0.674234205,1,0,0
30,282.72,478.485,/workspace/namu2/data/segmentation_data/5/5-1-1/14443.jpg,person,282.6235174,601623,531693.7734,0.653158406,1,0,0
31,208.257,497.475,/workspace/namu2/data/segmentation_data/5/5-1-1/14647.jpg,person,261.2990995,300105,230175.7734,0.721464108,1,0,0
32,526.473,268.068,/workspace/namu2/data/segmentation_data/5/5-1-1/14683.jpg,person,418.2051681,335160,265230.7734,0.026899411,1,0,0
33,157.41,440.51,/workspace/namu2/data/segmentation_data/5/5-1-1/15088.jpg,person,190.9054255,287100,217170.7734,0.749589491,1,0,0
34,301.994,509.565,/workspace/namu2/data/segmentation_data/5/5-1-1/15113.jpg,person,319.0011836,289940,220010.7734,0.608074534,2,0,0
35,139.496,159.873,/workspace/namu2/data/segmentation_data/5/5-1-1/15113.jpg,person,101.0105055,1610,68319.22656,0.608074534,2,0,0
36,194.388,357.0125,/workspace/namu2/data/segmentation_data/5/5-1-1/15361.jpg,person,132.6344484,58903,11026.22656,0.68743308,1,0,0
